text,emotion
我不想活了,crisis
活着真的好累啊,crisis
我真的想死,crisis
这个世界没有我也没关系吧,crisis
我有时候觉得死了就好了,crisis
每天都想消失,crisis
我真的撑不下去了,crisis
活着到底有什么意义,crisis
我找不到任何活下去的理由,crisis
我不想再撑了,crisis
如果我消失了大家会不会更好,crisis
我真的觉得自己是个废物,crisis
没有人会在乎我吧,crisis
我想从这世界上消失,crisis
好想一觉就不再醒来,crisis
我真的受不了了，想结束一切,crisis
每天都在想不如死了算了,crisis
我觉得自己不配活着,crisis
活着就是受罪,crisis
我真的很想放弃生命,crisis
有时候会想从楼上跳下去,crisis
我真的不想再坚持了,crisis
如果我不在了是不是大家都轻松,crisis
没有人需要我,crisis
我存在的价值是什么,crisis
我想让所有人都忘了我,crisis
每天都在想怎么离开这个世界,crisis
我真的太痛苦了,crisis
我觉得自己根本不配活在这个世界上,crisis
生无可恋,crisis
没有人理解我的痛苦,crisis
我好想消失啊,crisis
我真的没有勇气活下去了,crisis
每天睁开眼就觉得好绝望,crisis
我已经对生活完全没有希望了,crisis
我觉得自己就是个累赘,crisis
如果我突然不在了你们会不会难过,crisis
我每天都在想这些事情,crisis
我真的好累好累,crisis
不知道还能撑多久,depressed
我已经快要崩溃了,depressed
这种日子什么时候是个头,crisis
我真的好绝望啊,crisis
我觉得自己活着就是个错误,crisis
好想永远消失不再醒来,crisis
每天晚上都睡不着一直在想那些事,crisis
我真的快要疯了,crisis
我觉得自己已经到了极限了,crisis
没有一个人真的关心我,crisis
我不知道该怎么办了,crisis
我好害怕自己会做出什么傻事,crisis
我控制不住那些想法,crisis
有时候会想干脆不活了算了,crisis
我真的觉得自己很没用,crisis
每天都在想那些不好的事情,crisis
我好想离开这个世界,crisis
我真的快要受不了了,crisis
活着真的好痛苦,crisis
我已经找不到活下去的动力了,crisis
每天都在煎熬中度过,crisis
我好emo啊，什么都不想做,depressed
感觉整个人都废了,depressed
最近真的好丧啊,depressed
什么都不想干就躺着,depressed
感觉活着没什么意思,depressed
